,date,time,record_number,vehicle_class,bucket_speed_span,bucket_time_span,lowest_speed_in_time_span,first_bucket_count,record_crc,bucket_0,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,bucket_7,bucket_8,bucket_9,bucket_10,bucket_11,bucket_12,bucket_13,bucket_14,bucket_15,bucket_16,bucket_17,bucket_18,bucket_19,bucket_20,bucket_21,bucket_22,bucket_23,bucket_24,bucket_25,bucket_26
219,22/7/4,12:08,223,2,1,1,51,1,b'\xa2\x8c',1,,,,,,,,,,,,,,,,,,,,,,,,,,
220,22/7/4,12:08,224,3,1,1,54,1,b'`\x9e',1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
221,22/7/4,12:09,225,2,1,1,49,1,b'7~',1,,,,,,,,,,,,,,,,,,,,,,,,,,
222,22/7/4,12:09,226,4,1,1,49,1,b'\x0b6',1,,,,,,,,,,,,,,,,,,,,,,,,,,
223,22/7/4,12:13,227,3,1,1,53,1,b'\n2',1,,,,,,,,,,,,,,,,,,,,,,,,,,
224,22/7/4,12:17,228,3,1,1,57,1,"b'\x16""'",1,,,,,,,,,,,,,,,,,,,,,,,,,,
225,22/7/4,12:18,229,2,1,1,46,1,b'Tq',1,,,,,,,,,,,,,,,,,,,,,,,,,,
226,22/7/4,12:18,230,3,1,1,57,1,b'\xf0j',1,,,,,,,,,,,,,,,,,,,,,,,,,,
227,22/7/4,12:20,231,2,1,1,53,1,b'\xce\xc2',1,,,,,,,,,,,,,,,,,,,,,,,,,,
228,22/7/4,12:21,232,2,1,1,51,1,b'.&',1,,,,,,,,,,,,,,,,,,,,,,,,,,
229,22/7/4,12:22,233,2,1,1,28,1,b'C1',1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,
230,22/7/4,12:22,234,3,1,1,45,1,b'.\x16',1,,,,,,,,,,,,,,,,,,,,,,,,,,
231,22/7/4,12:24,235,3,1,1,63,1,b'\xec3',1,,,,,,,,,,,,,,,,,,,,,,,,,,
232,22/7/4,12:26,236,3,1,1,52,1,b'\x90P',1,,,,,,,,,,,,,,,,,,,,,,,,,,
233,22/7/4,12:26,237,3,1,1,60,1,b'\x88\xb1',1,,,,,,,,,,,,,,,,,,,,,,,,,,
234,22/7/4,12:27,238,2,1,1,48,1,b'e\xe4',1,,,,,,,,,,,,,,,,,,,,,,,,,,
235,22/7/4,12:28,239,2,1,1,55,1,b'\xb6\xd4',1,,,,,,,,,,,,,,,,,,,,,,,,,,
236,22/7/4,12:30,240,4,1,1,59,1,b'jI',1,,,,,,,,,,,,,,,,,,,,,,,,,,
237,22/7/4,12:31,241,2,1,1,52,1,b'c\xea',1,,,,,,,,,,,,,,,,,,,,,,,,,,
238,22/7/4,12:35,242,2,1,1,51,1,b'mn',1,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
239,22/7/4,12:35,243,3,1,1,57,1,b'\x8a\xa2',1,,,,,,,,,,,,,,,,,,,,,,,,,,
240,22/7/4,12:38,244,2,1,1,49,1,b'\xdc\x18',1,,,,,,,,,,,,,,,,,,,,,,,,,,
241,22/7/4,12:39,245,2,1,1,52,1,b'f\xb5',1,,,,,,,,,,,,,,,,,,,,,,,,,,
242,22/7/4,12:40,246,3,1,1,52,1,b'\xba&',1,,,,,,,,,,,,,,,,,,,,,,,,,,
243,22/7/4,12:41,247,3,1,1,57,1,b'\x08\xe4',1,,,,,,,,,,,,,,,,,,,,,,,,,,
244,22/7/4,12:42,248,2,1,1,50,1,b'\x98\x05',1,,,,,,,,,,,,,,,,,,,,,,,,,,
245,22/7/4,12:43,249,2,1,1,52,1,b'\xef\x8d',1,,,,,,,,,,,,,,,,,,,,,,,,,,
246,22/7/4,12:44,250,3,1,1,56,1,b'\xcd\xf6',1,,,,,,,,,,,,,,,,,,,,,,,,,,
247,22/7/4,12:48,251,2,1,1,53,1,b'<\xd3',1,,,,,,,,,,,,,,,,,,,,,,,,,,
248,22/7/4,12:50,252,2,1,1,54,1,b'H\xdf',1,,,,,,,,,,,,,,,,,,,,,,,,,,
249,22/7/4,12:51,253,3,1,1,46,1,b'\t\xa5',1,,,,,,,,,,,,,,,,,,,,,,,,,,
250,22/7/4,12:53,254,2,1,1,54,1,"b'\x9b""'",1,,,,,,,,,,,,,,,,,,,,,,,,,,
251,22/7/4,12:55,255,3,1,1,47,1,b'\xb6\x18',1,,,,,,,,,,,,,,,,,,,,,,,,,,
252,22/7/4,12:56,256,2,1,1,45,1,b'\x19*',1,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
253,22/7/4,12:59,257,2,1,1,51,1,b'*e',1,,,,,,,,,,,,,,,,,,,,,,,,,,
254,22/7/4,13:00,258,2,1,1,54,1,b'\x1b\x1c',1,,,,,,,,,,,,,,,,,,,,,,,,,,
255,22/7/4,13:01,259,2,1,1,49,1,b'\xd7\x88',1,,,,,,,,,,,,,,,,,,,,,,,,,,
256,22/7/4,13:02,260,2,1,1,46,1,b'\xcb\x9d',1,,,,,,,,,,,,,,,,,,,,,,,,,,
257,22/7/4,13:06,261,2,1,1,48,1,b'\x8c\xbf',1,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,
258,22/7/4,13:08,262,2,1,1,54,1,b'S+',1,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
259,22/7/4,13:08,263,4,1,1,57,1,b'G\xa5',1,,,,,,,,,,,,,,,,,,,,,,,,,,
260,22/7/4,13:11,264,2,1,1,54,1,b']\x98',1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
261,22/7/4,13:12,265,2,1,1,63,1,b'\xb2o',1,,,,,,,,,,,,,,,,,,,,,,,,,,
262,22/7/4,13:12,266,3,1,1,44,1,b'V\xcc',1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
263,22/7/4,13:16,267,3,1,1,48,1,b'\x14\xe9',1,,,,,,,,,,,,,,,,,,,,,,,,,,
264,22/7/4,13:20,268,2,1,1,55,1,b'F\xac',1,,,,,,,,,,,,,,,,,,,,,,,,,,
265,22/7/4,13:20,269,3,1,1,56,1,b'\xaa\x85',1,,,,,,,,,,,,,,,,,,,,,,,,,,
266,22/7/4,13:22,270,2,1,1,51,1,b'aQ',1,,,,,,,,,,,,,,,,,,,,,,,,,,
267,22/7/4,13:25,271,3,1,1,51,1,b'\x8c\xd6',1,,,,,,,,,,,,,,,,,,,,,,,,,,
268,22/7/4,13:26,272,3,1,1,52,1,b'\xa5\x14',1,,,,,,,,,,,,,,,,,,,,,,,,,,
269,22/7/4,13:27,273,3,1,1,54,1,b'>\xee',1,,,,,,,,,,,,,,,,,,,,,,,,,,
270,22/7/4,13:28,274,2,1,1,57,1,b'\xd1\xb0',1,,,,,,,,,,,,,,,,,,,,,,,,,,
271,22/7/4,13:29,275,2,1,1,49,1,b'\xe4\x96',1,,,,,,,,,,,,,,,,,,,,,,,,,,
272,22/7/4,13:29,276,4,1,1,54,1,b'\x9b\xa1',1,,,,,,,,,,,,,,,,,,,,,,,,,,
273,22/7/4,13:30,277,2,1,1,48,1,b'\xa7\xab',1,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
274,22/7/4,13:30,278,3,1,1,52,1,b'\x13\x17',1,,,,,,,,,,,,,,,,,,,,,,,,,,
275,22/7/4,13:31,279,2,1,1,39,1,b'G\xad',1,,,,,,,,,,,,,,,,,,,,,,,,,,
276,22/7/4,13:32,280,2,1,1,48,1,b'\xc5E',1,,,,,,,,,,,,,,,,,,,,,,,,,,
277,22/7/4,13:33,281,2,1,1,60,1,b'\x1c\x11',1,,,,,,,,,,,,,,,,,,,,,,,,,,
278,22/7/4,13:34,282,2,1,1,54,1,b'\x94\x81',1,,,,,,,,,,,,,,,,,,,,,,,,,,
279,22/7/4,13:34,283,3,1,1,65,1,b'5\x9d',1,,,,,,,,,,,,,,,,,,,,,,,,,,
280,22/7/4,13:36,284,3,1,1,36,1,b'\xda|',1,,,,,,,,,,,,,,,,,,,,,,,,,,
281,22/7/4,13:37,285,2,1,1,42,1,b'\x94\xe6',1,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,
282,22/7/4,13:38,286,3,1,1,53,1,"b'\x0b,'",1,,,,,,,,,,,,,,,,,,,,,,,,,,
283,22/7/4,13:39,287,2,1,1,51,1,b'\xa9;',1,,,,,,,,,,,,,,,,,,,,,,,,,,
284,22/7/4,13:39,288,3,1,1,55,1,b'\x9e\xde',1,,,,,,,,,,,,,,,,,,,,,,,,,,
285,22/7/4,13:41,289,2,1,1,48,1,b'\xafC',1,,,,,,,,,,,,,,,,,,,,,,,,,,
286,22/7/4,13:42,290,2,1,1,46,1,b'jb',1,,,,,,,,,,,,,,,,,,,,,,,,,,
287,22/7/4,13:42,291,3,1,1,55,1,b'mI',1,,,,,,,,,,,,,,,,,,,,,,,,,,
288,22/7/4,13:45,292,3,1,1,50,1,b'\x9b|',1,,,,,,,,,,,,,,,,,,,,,,,,,,
289,22/7/4,13:47,293,3,1,1,42,1,b'\xd8\xc5',1,,,,,,,,,,,,,,,,,,,,,,,,,,
290,22/7/4,13:50,294,3,1,1,47,1,b'8I',1,,,,,,,,,,,,,,,,,,,,,,,,,,
291,22/7/4,13:51,295,2,1,1,48,1,b'Xd',1,,,,,,,,,,,,,,,,,,,,,,,,,,
292,22/7/4,13:51,296,3,1,1,51,1,b'\x17\xb6',1,,,,,,,,,,,,,,,,,,,,,,,,,,
293,22/7/4,13:54,297,3,1,1,52,1,b'\xee\x97',1,,,,,,,,,,,,,,,,,,,,,,,,,,
294,22/7/4,13:55,298,3,1,1,64,1,b'K\xe2',1,,,,,,,,,,,,,,,,,,,,,,,,,,
295,22/7/4,13:56,299,3,1,1,51,1,b'+\x0f',1,,,,,,,,,,,,,,,,,,,,,,,,,,
296,22/7/4,14:02,300,3,1,1,49,1,b'\xea\x1c',1,,,,,,,,,,,,,,,,,,,,,,,,,,
297,22/7/4,14:04,301,2,1,1,54,1,b'\x11\xfe',1,,,,,,,,,,,,,,,,,,,,,,,,,,
298,22/7/4,14:06,302,2,1,1,48,1,b'P\xb4',1,,,,,,,,,,,,,,,,,,,,,,,,,,
299,22/7/4,14:09,303,2,1,1,58,1,b'\xc6p',1,,,,,,,,,,,,,,,,,,,,,,,,,,
